,blog_name,title,description,post_url,date (YYYY-MM-DD),hashtags,short_url,writing_prompt_id,writing_prompt,total_amount_notes,response_id,response,blog_name_response,type_of_response,reblog_parent_name,prompt_type,response_type
0,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r001,"What, no golden offset spatula?",twelve-badgers-in-a-suit,reply,,['text'],['text']
1,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r002,Time to pull out grandma's cookbook. Poor devil won't know what hit him til he tastes it,mimic-time,reply,,['text'],['text']
2,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r003,He's going to have to offer me more than something I already have.,schrodingersdate,reply,,['text'],['text']
3,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r004,As one day of appraisal turned into a month.. You wondered when the devil will pass his judgement..so one day you decided to settle the matters right….but only to…...what did you see???,inlovewithtokyorevengers,reply,,['text'],['text']
4,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r005,I make pasta with ketchup,ablog,reply,,['text'],['text']
5,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r006,If you write this story you need to name it Hell's Kitchen.,salamangreat-fennec,reply,,['text'],['text']
6,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r007,I will have much more fun trying to poison the devil.,notsponsoredby,reply,,['text'],['text']
7,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r008,"….my cooking skills are shit, I only know how to make chocolates ??",miaowmelodie,reply,,['text'],['text']
8,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r009,You prepare ratatouille. The prize is yours as the devil has a flashback to his childhood. ,sopsockwarlockroomwithavoid,reply,,['text'],['text']
9,writing-prompt-s,Writing Prompts,I am Prompt Guy and you are the protagonist. Let's explore the multiverse together.,https://writing-prompt-s.tumblr.com/post/711852338627887104/youve-accidentally-summoned-the-devil-while,15-3-2023,,https://tmblr.co/ZCDX7hdX0UumSa00,wp001,"<p>You’ve accidentally summoned the Devil while cooking dinner, and he’s intrigued by your culinary skills. He challenges you to a high-stakes cook-off, with your soul on the line. If you win, you get a lifetime of unparalleled culinary prowess and the ability to impress anyone with your dishes. But if you lose, your soul is his. As you accept the challenge, you realize you’ll need to prepare the most extraordinary meal of your life.<br></p>",4245,wp001r010,wait so the only way to win is to already have the prize he's offering?,roomwithavoid,reply,,['text'],['text']
